매장이름,위도주소,경도주소,매장타입,매장주소,시도
의정부장암DT,37.69925,127.05465,generalDT,경기도 의정부시 동일로 114 (장암동),경기도
의정부이마트,37.7432268,127.1025002,general,경기도 의정부시 민락로 210 (민락동),경기도
이천증포DT,37.296604,127.457292,generalDT,경기도 이천시 이섭대천로 1445 (증포동),경기도
이천사음DT,37.299106,127.407841,generalDT,경기도 이천시 경충대로 3045 (사음동),경기도
이천하이닉스,37.25251,127.489933,general,"경기도 이천시 부발읍 경충대로 2100 외 101호, 102호, 201호",경기도
이천터미널,37.278191,127.446323,general,경기도 이천시 중리천로 84 (중리동),경기도
이천IC DT,37.25779078,127.4829154,generalDT,"경기도 이천시 부발읍 경충대로 2183 신하리 547외 6필지(547, 548-2, 3, 4, 5, 550-7,8)",경기도
포천DT,37.84841582,127.1618313,generalDT,경기도 포천시 호국로 925 (선단동),경기도
광릉수목원,37.77650342,127.1652471,general,경기도 포천시 소흘읍 죽엽산로 655 ,경기도
포천호국로DT,37.79653392,127.1272416,generalDT,경기도 포천시 소흘읍 호국로 246 ,경기도
포천내촌DT,37.76324078,127.2252363,generalDT,경기도 포천시 내촌면 금강로 2064 (내촌면),경기도
하남미사DT,37.55997203,127.1857909,generalDT,경기도 하남시 미사강변남로 35 (망월동),경기도
하남황산사거리,37.55078301,127.1860334,general,경기도 하남시 조정대로 65 (풍산동),경기도
스타필드위례1FR,37.48041,127.14814,reserve,경기도 하남시 위례대로 200 (학암동),경기도
미사역효성,37.56724938,127.1903083,general,경기도 하남시 아리수로 570 (망월동),경기도
하남덕풍,37.55215262,127.2092878,general,경기도 하남시 덕풍동로 123 (덕풍동),경기도
하남미사,37.56961189,127.1834151,general,경기도 하남시 미사강변북로30번길 130 (망월동),경기도
스타필드하남1F(티바나),37.54477875,127.2236042,general,경기도 하남시 미사대로 750 (신장동),경기도
신세계하남2F,37.54599383,127.221885,general,경기도 하남시 미사대로 750 (신장동),경기도
스타필드하남2FR,37.54521448,127.2242618,reserve,경기도 하남시 미사대로 750 (신장동),경기도
하남신장,37.5383807,127.2039864,general,경기도 하남시 신장로 130,경기도
하남시청,37.54058518,127.216036,general,경기도 하남시 대청로 34 (신장동),경기도
하남시청역,37.54141739,127.2080267,general,경기도 하남시 하남대로 808 (신장동),경기도
하남풍산역,37.55355159,127.2053421,general,경기도 하남시 덕풍서로 80 (덕풍동) 빌리브하남 101~106호,경기도
하남감일,37.50741145,127.1551007,general,"경기도 하남시 감일백제로 169 (감이동) 현대타워, 1층 105~111호",경기도
미사역그랑파사쥬,37.56421331,127.1915286,general,경기도 하남시 미사강변동로 95 (망월동) 미사역 그랑파사쥬 1층 1056~1059호,경기도
미사역파라곤스퀘어,37.56431707,127.1928249,general,"경기도 하남시 미사강변동로 100 (망월동), 미사역 파라곤스퀘어 1층 1011~1016호",경기도
화성시청,37.20087823,126.8260473,general,경기도 화성시 남양읍 시청로 113 ,경기도
화성봉담,37.21865588,126.9553862,general,경기도 화성시 봉담읍 동화길 51 ,경기도
화성향남,37.131572,126.922767,general,경기도 화성시 향남읍 발안로 111 ,경기도
동탄카림,37.19921082,127.1129463,general,"경기도 화성시 동탄대로시범길 134 (청계동, 시범 반도유보라 아이비파크4.0)",경기도
동탄능동DT,37.212139,127.053557,generalDT,경기도 화성시 동탄지성로 201 (능동),경기도
동탄역,37.19779562,127.0984027,general,경기도 화성시 동탄대로 495 (오산동),경기도
화성병점DT,37.212704,127.038292,generalDT,경기도 화성시 효행로 1015 (진안동),경기도
동탄영천,37.20673608,127.1113804,general,경기도 화성시 동탄순환대로 692 (영천동),경기도
신영통DT,37.234379,127.062955,generalDT,경기도 화성시 영통로 43 (반월동),경기도
동탄센트럴파크,37.2082443,127.0638898,general,경기도 화성시 동탄지성로 104 센트럴파티오,경기도
동탄,37.201742,127.072973,general,"경기도 화성시 메타폴리스로 54 (반송동, 동탄파라곤II) 1층",경기도
동탄광장,37.204887,127.07181,general,"경기도 화성시 동탄지성로 17, 풍성 위버폴리스  (반송동)",경기도
동탄이마트,37.21417,127.079398,general,"경기도 화성시 동탄중앙로 376, 동탄이마트 1층 (석우동)",경기도
송산마도IC DT,37.20721734,126.7776942,generalDT,"경기도 화성시 마도면 화성로 803 두곡리 312-4, 312-5",경기도
동탄북광장,37.206887,127.074505,general,"경기도 화성시 동탄원천로 153 (반송동), 1층 일부",경기도
동탄산단DT,37.1644456,127.0865349,generalDT,경기도 화성시 동탄산단2길 7-36 (방교동),경기도
동탄라크몽,37.16724647,127.105006,general,경기도 화성시 동탄대로5길 21 (송동) 라크몽,경기도
화성남양DT,37.20696394,126.8191989,generalDT,경기도 화성시 남양읍 시청로32번길 6 ,경기도
화성봉담DT,37.22832461,126.9715786,generalDT,경기도 화성시 효행로 219 (기안동),경기도
동탄목동,37.1825,127.12466,general,경기도 화성시 동탄순환대로20길 124 (목동),경기도
화성반월DT,37.220177,127.05796,generalDT,경기도 화성시 효행로 1241 (반월동),경기도
동탄여울공원,37.20125565,127.0899196,general,경기도 화성시 동탄기흥로 447-30 (오산동),경기도
화성보통저수지,37.19249508,126.978487,general,경기도 화성시 정남면 세자로 293 단독 건물,경기도
삼성전자DSR,37.226129,127.070494,general,"경기도 화성시 삼성전자로 1 (반월동), DSR동 B-C타워 로비 1층",경기도
동탄트레이더스,37.19340617,127.0972876,general,경기도 화성시 동탄대로 451 (오산동),경기도
동탄신리천공원,37.18381932,127.1073122,general,경기도 화성시 동탄신리천로 264 (오산동),경기도
화성향남DT,37.13194856,126.9100021,generalDT,경기도 화성시 향남읍 삼천병마로 213 ,경기도
송산그린시티,37.284793,126.818368,general,경기도 화성시 수노을중앙로 136 (새솔동),경기도
동탄타임테라스,37.204292,127.069308,general,"경기도 화성시 동탄중앙로 220 (반송동, 메타폴리스)",경기도
동탄IX타워,37.21111374,127.0891286,general,경기도 화성시 동탄첨단산업1로 27 (영천동) 동탄금강펜테리움IX타워 M8~M11호,경기도
동탄역롯데R,37.19982904,127.0965243,reserve,경기도 화성시 동탄역로 160 롯데백화점 동탄점,경기도
화성안녕DT,37.20263425,127.0129157,generalDT,경기도 화성시 효행로 751 (안녕동),경기도
동탄디엠시티,37.20967505,127.0995137,general,"경기도 화성시 동탄대로 636-14 (영천동, 동탄역 대방디엠시티 더 센텀)",경기도
화성향남2지구,37.1163585,126.9107857,general,"경기도 화성시 향남읍 발안양감로 187 발안양감로 187 센트럴프라자1동 108호,204호",경기도
남양화성로DT,37.2110563,126.8132036,generalDT,경기도 화성시 남양읍 화성로 1166 화성로 1166,경기도
화성향남발안DT,37.13349031,126.9412125,generalDT,경기도 화성시 향남읍 발안로 308 ,경기도
동탄호수공원,37.17215166,127.1062007,general,경기도 화성시 동탄대로 181 (송동),경기도
삼송역,37.65226187,126.8962384,general,경기도 고양시 덕양구 동송로 70 (삼송동),경기도
원흥역,37.64941847,126.8766869,general,경기도 고양시 덕양구 원흥5로 25 (원흥동),경기도
스타필드고양3F,37.647216,126.895577,general,경기도 고양시 덕양구 고양대로 1955 (동산동),경기도
